Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Kentucky-2011,4,1.10822,12.5333,0.523593,0.351699,0.737805,0.731755,0.111175,0.0922653,1.16258,0.232702,0.927443,0.440688,0.7333,N/A,N/A,N/A,0.156737,N/A
Princeton-2011,13,1.04493,5.72414,0.522861,0.287273,0.728374,0.758811,0.0776637,0.088886,1.09887,0.263557,0.959142,0.465661,0.7931,N/A,N/A,N/A,0.18294,N/A
Xavier-2011,6,1.07629,8.36667,0.514115,0.314543,0.749656,0.739444,0.056432,0.0822984,1.11389,0.255273,0.952592,0.457828,0.8,N/A,N/A,N/A,0.17741,N/A
Marquette-2011,11,1.0978,8,0.519702,0.34144,0.693413,0.688847,0.0629591,0.10323,1.36856,0.241594,0.98329,0.497639,0.6061,N/A,N/A,N/A,0.168291,N/A
Syracuse-2011,3,1.0815,10.9032,0.529027,0.34298,0.661417,0.692974,0.117448,0.128129,1.36119,0.22209,0.921106,0.454545,0.8065,N/A,N/A,N/A,0.176059,N/A
Indiana St-2011,14,0.980804,1.0625,0.488717,0.293456,0.712519,0.725221,0.0820359,0.0893756,0.893905,0.302574,0.964977,0.458982,0.5938,N/A,N/A,N/A,0.206216,N/A
Washington-2011,7,1.12271,13.7,0.540289,0.370149,0.665116,0.703922,0.0973349,0.0908499,1.38606,0.271659,0.939673,0.459733,0.6667,N/A,N/A,N/A,0.166113,N/A
Georgia-2011,10,1.01327,4.43333,0.497897,0.340378,0.69616,0.709291,0.0956072,0.0981278,1.14787,0.243302,0.948292,0.448914,0.6667,N/A,N/A,N/A,0.194935,N/A
N Carolina-2011,2,1.04192,10.1333,0.493067,0.353949,0.660112,0.726222,0.0862161,0.0849171,1.17468,0.220155,0.905333,0.453699,0.8,N/A,N/A,N/A,0.177472,N/A
LIU-2011,15,1.07504,8.71875,0.523649,0.376611,0.644764,0.690153,0.0524309,0.0955863,0.997938,0.224526,0.961557,0.481649,0.8438,N/A,N/A,N/A,0.197274,N/A
Duke-2011,1,1.12065,16.9032,0.535389,0.332999,0.748201,0.693578,0.0761803,0.105075,1.20479,0.241315,0.887345,0.440987,0.871,N/A,N/A,N/A,0.167407,N/A
Hampton-2011,16,0.94751,4.37931,0.460995,0.278165,0.638806,0.671733,0.102314,0.106589,0.985836,0.264261,0.885129,0.427223,0.7241,N/A,N/A,N/A,0.173391,N/A
Michigan-2011,8,1.03859,3.13333,0.52103,0.34375,0.716216,0.741176,0.0888611,0.0947923,1.35786,0.263986,0.956777,0.475635,0.6207,N/A,N/A,N/A,0.157235,N/A
Tennessee-2011,9,1.01225,3.70968,0.478041,0.367126,0.680224,0.706879,0.068525,0.10526,1.01228,0.277755,0.958928,0.468931,0.5806,N/A,N/A,N/A,0.188725,N/A
Arizona-2011,5,1.10495,9.54839,0.546274,0.322093,0.752,0.737487,0.0718301,0.0959109,1.28421,0.272757,0.967639,0.470019,0.8065,N/A,N/A,N/A,0.183503,N/A
Memphis-2011,12,1.00132,3.54839,0.501979,0.337796,0.67344,0.669284,0.0971364,0.119801,0.964135,0.281622,0.952152,0.466873,0.7097,N/A,N/A,N/A,0.211887,N/A
Texas-2011,4,1.07487,14.1935,0.530731,0.365912,0.7543,0.729517,0.0853859,0.0990294,1.13388,0.243329,0.862836,0.41434,0.8065,N/A,N/A,N/A,0.167089,N/A
Oakland-2011,13,1.1474,8.54545,0.560963,0.353113,0.718593,0.703513,0.0863724,0.0829498,1.18263,0.250484,1.03217,0.494482,0.7273,N/A,N/A,N/A,0.18347,N/A
Cincinnati-2011,6,1.06394,11.25,0.49746,0.373851,0.670537,0.715472,0.0738007,0.118588,1.25886,0.261563,0.8918,0.45203,0.7813,N/A,N/A,N/A,0.175491,N/A
Missouri-2011,11,1.09246,9.77419,0.521806,0.316495,0.731411,0.753943,0.0873239,0.128606,1.30769,0.272697,0.951859,0.486197,0.7576,N/A,N/A,N/A,0.165017,N/A
Connecticut-2011,3,1.05976,7.375,0.485179,0.374408,0.74613,0.683453,0.0949432,0.0920744,1.17027,0.232894,0.953241,0.447884,0.7188,N/A,N/A,N/A,0.166998,N/A
Bucknell-2011,14,1.04029,7.09375,0.513113,0.2382,0.784746,0.739214,0.0581921,0.0698738,1.30663,0.265704,0.935941,0.451977,0.75,N/A,N/A,N/A,0.16641,N/A
Temple-2011,7,1.04574,8.83333,0.500587,0.314136,0.69,0.735169,0.0858676,0.102601,1.38066,0.235784,0.915021,0.455874,0.8,N/A,N/A,N/A,0.163273,N/A
Penn State-2011,10,1.03612,0.310345,0.502665,0.304668,0.727835,0.718555,0.0480641,0.0740086,1.18241,0.258196,1.03111,0.513017,0.5517,N/A,N/A,N/A,0.170832,N/A
San Diego St-2011,2,1.09018,12.2069,0.510328,0.365991,0.698905,0.723769,0.0911409,0.0908923,1.22508,0.237271,0.90311,0.440089,0.931,N/A,N/A,N/A,0.164346,N/A
N Colorado-2011,15,1.04189,4.37931,0.501634,0.333333,0.772059,0.729425,0.0368633,0.0849697,0.801909,0.285255,0.977657,0.488941,0.6552,N/A,N/A,N/A,0.211919,N/A
Kansas-2011,1,1.15264,18.1613,0.58193,0.401475,0.675414,0.743925,0.088254,0.116478,1.34286,0.248696,0.899442,0.441854,0.9355,N/A,N/A,N/A,0.188883,N/A
Boston U-2011,16,1.0049,1.9697,0.47735,0.325301,0.7263,0.688162,0.0675676,0.0823079,0.851662,0.27994,0.974674,0.458919,0.6061,N/A,N/A,N/A,0.181821,N/A
UNLV-2011,8,1.04101,9.43333,0.507743,0.329486,0.684211,0.698312,0.0702532,0.118559,1.22047,0.28194,0.904616,0.453481,0.7667,N/A,N/A,N/A,0.183622,N/A
Illinois-2011,9,1.05195,6.41935,0.528841,0.307789,0.729045,0.743889,0.0804727,0.0866467,1.32051,0.258972,0.957911,0.452167,0.6129,N/A,N/A,N/A,0.184305,N/A
Vanderbilt-2011,5,1.0863,9.2,0.534293,0.322905,0.741979,0.70237,0.0815545,0.0750961,0.997537,0.233317,0.95594,0.453202,0.7,N/A,N/A,N/A,0.191755,N/A
Richmond-2011,12,1.08436,9.19355,0.545021,0.261057,0.689781,0.678397,0.0721709,0.0953604,1.44545,0.248724,0.944265,0.450058,0.7742,N/A,N/A,N/A,0.162211,N/A
Louisville-2011,4,1.06751,10.871,0.528047,0.334928,0.663121,0.679695,0.0907494,0.134583,1.34663,0.270539,0.913242,0.447307,0.7419,N/A,N/A,N/A,0.183564,N/A
Morehead St-2011,13,1.04123,6.83871,0.509102,0.403471,0.677037,0.737832,0.0652877,0.127776,0.817391,0.290178,0.937837,0.489011,0.7097,N/A,N/A,N/A,0.22434,N/A
Georgetown-2011,6,1.06689,4.93548,0.543913,0.316687,0.731532,0.696755,0.0802792,0.092057,1.15517,0.279563,0.992763,0.465969,0.6774,N/A,N/A,N/A,0.196711,N/A
Purdue-2011,3,1.07672,12.1613,0.511204,0.309129,0.716129,0.721244,0.0776987,0.0934834,1.52308,0.263842,0.897821,0.456406,0.8065,N/A,N/A,N/A,0.154224,N/A
St Peters-2011,14,0.912073,1.48485,0.459397,0.315385,0.643377,0.681267,0.0861678,0.113897,0.775934,0.289468,0.890014,0.422336,0.6061,N/A,N/A,N/A,0.216989,N/A
Texas A&amp;M-2011,7,1.03902,7.51724,0.494371,0.365912,0.698006,0.729517,0.0319361,0.0990294,1.03191,0.276129,0.924798,0.465735,0.7586,N/A,N/A,N/A,0.197011,N/A
Florida St-2011,10,0.975553,7.33333,0.490544,0.346875,0.666667,0.707294,0.101885,0.126013,0.785714,0.2683,0.873255,0.423734,0.7,N/A,N/A,N/A,0.221336,N/A
