Team1,Team2,Score
Vanderbilt-2012,Harvard-2012,9
Wisconsin-2012,Montana-2012,24
Cincinnati-2012,Texas-2012,6
Florida State-2012,St. Bonaventure-2012,3
Gonzaga-2012,West Virginia-2012,23
Ohio State-2012,Loyola (MD)-2012,19
Syracuse-2012,Kansas State-2012,16
Vanderbilt-2012,Wisconsin-2012,-3
Cincinnati-2012,Florida State-2012,6
Gonzaga-2012,Ohio State-2012,-7
Syracuse-2012,Wisconsin-2012,1
Cincinnati-2012,Ohio State-2012,-15
Syracuse-2012,Ohio State-2012,-7
North Carolina-2012,Vermont-2012,19
Creighton-2012,Alabama-2012,1
Temple-2012,South Florida-2012,-14
Michigan-2012,Ohio-2012,-5
San Diego State-2012,North Carolina State-2012,-14
Georgetown-2012,Belmont-2012,15
Saint Mary's-2012,Purdue-2012,-3
Kansas-2012,Detroit-2012,15
North Carolina-2012,Creighton-2012,14
South Florida-2012,Ohio-2012,-6
North Carolina State-2012,Georgetown-2012,3
Purdue-2012,Kansas-2012,-3
North Carolina-2012,Ohio-2012,8
North Carolina State-2012,Kansas-2012,-3
North Carolina-2012,Kansas-2012,-13
Louisville-2012,Kentucky-2012,-8
Ohio St-2012,Kansas-2012,-2
Kansas-2012,Kentucky-2012,-8
Middle Tennessee-2013,Saint Mary's-2013,-13
Liberty-2013,North Carolina A&T-2013,-1
Boise State-2013,La Salle-2013,-9
James Madison-2013,Long Island-2013,13
Louisville-2013,North Carolina A&T-2013,31
Colorado State-2013,Missouri-2013,12
Oklahoma State-2013,Oregon-2013,-13
Saint Louis-2013,New Mexico State-2013,20
Memphis-2013,Saint Mary's-2013,2
Michigan State-2013,Valparaiso-2013,11
Creighton-2013,Cincinnati-2013,4
Duke-2013,Albany-2013,12
Louisville-2013,Colorado State-2013,26
Oregon-2013,Saint Louis-2013,17
Memphis-2013,Michigan State-2013,-22
Creighton-2013,Duke-2013,-16
Louisville-2013,Oregon-2013,8
Michigan State-2013,Duke-2013,-10
Louisville-2013,Duke-2013,22
Gonzaga-2013,Southern-2013,6
Pittsburgh-2013,Wichita State-2013,-18
Wisconsin-2013,Mississippi-2013,-11
Kansas State-2013,La Salle-2013,-2
Arizona-2013,Belmont-2013,17
New Mexico-2013,Harvard-2013,-6
Notre Dame-2013,Iowa State-2013,-18
Ohio State-2013,Iona-2013,25
Gonzaga-2013,Wichita State-2013,-6
Mississippi-2013,La Salle-2013,-2
Arizona-2013,Harvard-2013,23
Iowa State-2013,Ohio State-2013,-3
Wichita State-2013,La Salle-2013,14
Arizona-2013,Ohio State-2013,-3
Wichita State-2013,Ohio State-2013,4
Kansas-2013,Western Kentucky-2013,7
North Carolina-2013,Villanova-2013,7
VCU-2013,Akron-2013,46
Michigan-2013,South Dakota State-2013,15
UCLA-2013,Minnesota-2013,-20
Florida-2013,Northwestern State-2013,32
San Diego State-2013,Oklahoma-2013,15
Georgetown-2013,Florida Gulf Coast-2013,-10
Kansas-2013,North Carolina-2013,12
VCU-2013,Michigan-2013,-25
Minnesota-2013,Florida-2013,-14
San Diego State-2013,Florida Gulf Coast-2013,-10
Kansas-2013,Michigan-2013,-2
Florida-2013,Florida Gulf Coast-2013,12
Michigan-2013,Florida-2013,20
Indiana-2013,James Madison-2013,21
NC State-2013,Temple-2013,-4
UNLV-2013,California-2013,-3
Syracuse-2013,Montana-2013,47
Butler-2013,Bucknell-2013,12
Marquette-2013,Davidson-2013,1
Illinois-2013,Colorado-2013,8
Miami (FL)-2013,Pacific-2013,29
Indiana-2013,Temple-2013,6
California-2013,Syracuse-2013,-6
Butler-2013,Marquette-2013,-2
Illinois-2013,Miami (FL)-2013,-4
Indiana-2013,Syracuse-2013,-11
Marquette-2013,Miami (FL)-2013,10
Syracuse-2013,Marquette-2013,16
Louisville-2013,Wichita State-2013,4
Michigan-2013,Syracuse-2013,5
Louisville-2013,Michigan-2013,6
NC State-2014,Xavier-2014,15
Albany-2014,Mount St. Mary's-2014,7
Iowa-2014,Tennessee-2014,-13
Cal Poly-2014,Texas Southern-2014,12
Florida-2014,Albany-2014,12
Colorado-2014,Pittsburgh-2014,-29
VCU-2014,Stephen F. Austin-2014,-2
UCLA-2014,Tulsa-2014,17
Ohio State-2014,Dayton-2014,-1
Syracuse-2014,Western Michigan-2014,24
New Mexico-2014,Stanford-2014,-5
Kansas-2014,Eastern Kentucky-2014,11
Florida-2014,Pittsburgh-2014,16
Stephen F. Austin-2014,UCLA-2014,-17
Dayton-2014,Syracuse-2014,2
Stanford-2014,Kansas-2014,3
Florida-2014,UCLA-2014,11
Dayton-2014,Stanford-2014,10
Florida-2014,Dayton-2014,10
Virginia-2014,Coastal Carolina-2014,11
Memphis-2014,George Washington-2014,5
Cincinnati-2014,Harvard-2014,-4
Michigan State-2014,Delaware-2014,15
North Carolina-2014,Providence-2014,2
Iowa State-2014,NC Central-2014,18
UConn-2014,Saint Joseph's-2014,8
Villanova-2014,Milwaukee-2014,20
Virginia-2014,Memphis-2014,18
Harvard-2014,Michigan State-2014,-7
North Carolina-2014,Iowa State-2014,-2
UConn-2014,Villanova-2014,12
Virginia-2014,Michigan State-2014,-2
Iowa State-2014,UConn-2014,-5
Michigan State-2014,UConn-2014,-6
Arizona-2014,Weber State-2014,9
Gonzaga-2014,Oklahoma State-2014,8
Oklahoma-2014,North Dakota State-2014,-5
San Diego State-2014,New Mexico State-2014,4
Baylor-2014,Nebraska-2014,14
Creighton-2014,Louisiana–Lafayette-2014,10
Oregon-2014,BYU-2014,19
Wisconsin-2014,American-2014,40
Arizona-2014,Gonzaga-2014,23
North Dakota State-2014,San Diego State-2014,-19
Baylor-2014,Creighton-2014,30
Oregon-2014,Wisconsin-2014,-8
Arizona-2014,San Diego State-2014,6
Baylor-2014,Wisconsin-2014,-17
Arizona-2014,Wisconsin-2014,-1
Wichita State-2014,Cal Poly-2014,27
Kentucky-2014,Kansas State-2014,7
Saint Louis-2014,NC State-2014,3
Louisville-2014,Manhattan-2014,7
Massachusetts-2014,Tennessee-2014,-19
Duke-2014,Mercer-2014,-7
Texas-2014,Arizona State-2014,2
Michigan-2014,Wofford-2014,17
Wichita State-2014,Kentucky-2014,-2
Saint Louis-2014,Louisville-2014,-15
Tennessee-2014,Mercer-2014,20
Texas-2014,Michigan-2014,-14
Kentucky-2014,Louisville-2014,5
Tennessee-2014,Michigan-2014,-2
Kentucky-2014,Michigan-2014,3
Kentucky-2014,Wisconsin-2014,1
UConn-2014,Florida-2014,10
Kentucky-2014,UConn-2014,-6
BYU-2015,Ole Miss-2015,-4
Hampton-2015,Manhattan-2015,10
Boise State-2015,Dayton-2015,-1
North Florida-2015,Robert Morris-2015,-4
Kentucky-2015,Hampton-2015,23
Cincinnati-2015,Purdue-2015,1
West Virginia-2015,Buffalo-2015,6
Maryland-2015,Valparaiso-2015,3
Butler-2015,Texas-2015,8
Notre Dame-2015,Northeastern-2015,4
Wichita State-2015,Indiana-2015,5
Kansas-2015,New Mexico State-2015,19
Kentucky-2015,Cincinnati-2015,13
West Virginia-2015,Maryland-2015,10
Butler-2015,Notre Dame-2015,-3
Wichita State-2015,Kansas-2015,13
Kentucky-2015,West Virginia-2015,39
Notre Dame-2015,Wichita State-2015,11
Kentucky-2015,Notre Dame-2015,2
Wisconsin-2015,Coastal Carolina-2015,14
Oregon-2015,Oklahoma State-2015,6
Arkansas-2015,Wofford-2015,3
North Carolina-2015,Harvard-2015,2
Xavier-2015,Ole Miss-2015,19
Baylor-2015,Georgia State-2015,-1
Virginia Commonwealth-2015,Ohio State-2015,-3
Arizona-2015,Texas Southern-2015,21
Wisconsin-2015,Oregon-2015,7
Arkansas-2015,North Carolina-2015,-9
Xavier-2015,Georgia State-2015,8
Ohio State-2015,Arizona-2015,-15
Wisconsin-2015,North Carolina-2015,7
Xavier-2015,Arizona-2015,-8
Wisconsin-2015,Arizona-2015,7
Villanova-2015,Lafayette-2015,41
North Carolina State-2015,LSU-2015,1
Northern Iowa-2015,Wyoming-2015,17
Louisville-2015,California-Irvine-2015,2
Providence-2015,Dayton-2015,-13
Oklahoma-2015,Albany-2015,9
Michigan State-2015,Georgia-2015,7
Virginia-2015,Belmont-2015,12
Villanova-2015,North Carolina State-2015,-3
Northern Iowa-2015,Louisville-2015,-13
Dayton-2015,Oklahoma-2015,-6
Michigan State-2015,Virginia-2015,6
North Carolina State-2015,Louisville-2015,-10
Oklahoma-2015,Michigan State-2015,-4
Louisville-2015,Michigan State-2015,-6
Duke-2015,Robert Morris-2015,29
San Diego State-2015,St. John's-2015,12
Utah-2015,Stephen F. Austin-2015,7
Georgetown-2015,Eastern Washington-2015,10
Southern Methodist-2015,UCLA-2015,-1
Iowa State-2015,UAB-2015,-1
Iowa-2015,Davidson-2015,31
Gonzaga-2015,North Dakota State-2015,10
Duke-2015,San Diego State-2015,19
Utah-2015,Georgetown-2015,11
UCLA-2015,UAB-2015,17
Iowa-2015,Gonzaga-2015,-19
Duke-2015,Utah-2015,6
UCLA-2015,Gonzaga-2015,-12
Duke-2015,Gonzaga-2015,14
Kentucky-2015,Wisconsin-2015,-7
Michigan State-2015,Duke-2015,-20
Wisconsin-2015,Duke-2015,-5
Vanderbilt-2016,Wichita State-2016,-20
Florida Gulf Coast-2016,Fairleigh Dickinson-2016,31
Michigan-2016,Tulsa-2016,5
Holy Cross-2016,Southern-2016,4
Kansas-2016,Austin Peay-2016,26
Colorado-2016,UConn-2016,-7
Maryland-2016,South Dakota State-2016,5
California-2016,Hawaii-2016,-11
Arizona-2016,Wichita State-2016,-10
Miami (FL)-2016,Buffalo-2016,7
Iowa-2016,Temple-2016,2
Villanova-2016,UNC Asheville-2016,30
Kansas-2016,UConn-2016,12
Maryland-2016,Hawaii-2016,13
Wichita State-2016,Miami (FL)-2016,-8
Iowa-2016,Villanova-2016,-19
Kansas-2016,Maryland-2016,16
Miami (FL)-2016,Villanova-2016,-23
Kansas-2016,Villanova-2016,-5
Oregon-2016,Holy Cross-2016,39
Saint Joseph's-2016,Cincinnati-2016,2
Baylor-2016,Yale-2016,-4
Duke-2016,UNC Wilmington-2016,8
Texas-2016,Northern Iowa-2016,-3
Texas A&M-2016,Green Bay-2016,27
Oregon State-2016,VCU-2016,-8
Oklahoma-2016,Cal State Bakersfield-2016,14
Oregon-2016,Saint Joseph's-2016,5
Yale-2016,Duke-2016,-7
Northern Iowa-2016,Texas A&M-2016,-4
VCU-2016,Oklahoma-2016,-4
Oregon-2016,Duke-2016,14
Texas A&M-2016,Oklahoma-2016,-14
Oregon-2016,Oklahoma-2016,-12
North Carolina-2016,Florida Gulf Coast-2016,16
USC-2016,Providence-2016,-1
Indiana-2016,Chattanooga-2016,25
Kentucky-2016,Stony Brook-2016,28
Notre Dame-2016,Michigan-2016,7
West Virginia-2016,Stephen F. Austin-2016,-14
Wisconsin-2016,Pittsburgh-2016,4
Xavier-2016,Weber State-2016,18
North Carolina-2016,Providence-2016,19
Indiana-2016,Kentucky-2016,6
Notre Dame-2016,Stephen F. Austin-2016,1
Wisconsin-2016,Xavier-2016,3
North Carolina-2016,Indiana-2016,15
Notre Dame-2016,Wisconsin-2016,5
North Carolina-2016,Notre Dame-2016,14
Virginia-2016,Hampton-2016,36
Texas Tech-2016,Butler-2016,-10
Purdue-2016,Little Rock-2016,-2
Iowa State-2016,Iona-2016,13
Seton Hall-2016,Gonzaga-2016,-16
Utah-2016,Fresno State-2016,11
Dayton-2016,Syracuse-2016,-19
Michigan State-2016,Middle Tennessee-2016,-9
Virginia-2016,Butler-2016,8
Little Rock-2016,Iowa State-2016,-17
Gonzaga-2016,Utah-2016,23
Syracuse-2016,Middle Tennessee-2016,25
Virginia-2016,Iowa State-2016,13
Gonzaga-2016,Syracuse-2016,-3
Virginia-2016,Syracuse-2016,-6
Villanova-2016,Oklahoma-2016,44
North Carolina-2016,Syracuse-2016,17
Villanova-2016,North Carolina-2016,3
Villanova-2017,Mount St. Mary's-2017,20
Wisconsin-2017,Virginia Tech-2017,10
Virginia-2017,UNC Wilmington-2017,5
Florida-2017,East Tennessee State-2017,15
SMU-2017,USC-2017,-1
Baylor-2017,New Mexico State-2017,18
South Carolina-2017,Marquette-2017,20
Duke-2017,Troy-2017,22
Villanova-2017,Wisconsin-2017,-3
Virginia-2017,Florida-2017,-26
USC-2017,Baylor-2017,-4
South Carolina-2017,Duke-2017,7
Wisconsin-2017,Florida-2017,-1
Baylor-2017,South Carolina-2017,-20
Florida-2017,South Carolina-2017,-7
Gonzaga-2017,South Dakota State-2017,20
Northwestern-2017,Vanderbilt-2017,2
Notre Dame-2017,Princeton-2017,2
West Virginia-2017,Bucknell-2017,6
Maryland-2017,Xavier-2017,-11
Florida State-2017,Florida Gulf Coast-2017,6
Saint Mary's-2017,VCU-2017,8
Arizona-2017,North Dakota-2017,18
Gonzaga-2017,Northwestern-2017,6
Notre Dame-2017,West Virginia-2017,-12
Xavier-2017,Florida State-2017,25
Saint Mary's-2017,Arizona-2017,-9
Gonzaga-2017,West Virginia-2017,3
Xavier-2017,Arizona-2017,2
Gonzaga-2017,Xavier-2017,24
Kansas-2017,UC Davis-2017,38
Miami (FL)-2017,Michigan State-2017,-20
Iowa State-2017,Nevada-2017,11
Purdue-2017,Vermont-2017,10
Creighton-2017,Rhode Island-2017,-12
Oregon-2017,Iona-2017,16
Michigan-2017,Oklahoma State-2017,1
Louisville-2017,Jacksonville State-2017,15
Kansas-2017,Michigan State-2017,20
Iowa State-2017,Purdue-2017,-4
Rhode Island-2017,Oregon-2017,-3
Michigan-2017,Louisville-2017,4
Kansas-2017,Purdue-2017,32
Oregon-2017,Michigan-2017,1
Kansas-2017,Oregon-2017,-14
North Carolina-2017,Texas Southern-2017,39
Arkansas-2017,Seton Hall-2017,6
Minnesota-2017,Middle Tennessee-2017,-9
Butler-2017,Winthrop-2017,12
Cincinnati-2017,Kansas State-2017,14
UCLA-2017,Kent State-2017,17
Dayton-2017,Wichita State-2017,-6
Kentucky-2017,Northern Kentucky-2017,9
North Carolina-2017,Arkansas-2017,7
Middle Tennessee-2017,Butler-2017,-9
Cincinnati-2017,UCLA-2017,-12
Wichita State-2017,Kentucky-2017,-3
North Carolina-2017,Butler-2017,12
UCLA-2017,Kentucky-2017,-11
North Carolina-2017,Kentucky-2017,2
South Carolina-2017,Gonzaga-2017,-4
Oregon-2017,North Carolina-2017,-1
Gonzaga-2017,North Carolina-2017,-6
Virginia-2018,UMBC-2018,-20
Creighton-2018,Kansas State-2018,-10
Kentucky-2018,Davidson-2018,5
Arizona-2018,Buffalo-2018,-21
Miami (FL)-2018,Loyola–Chicago-2018,-2
Tennessee-2018,Wright State-2018,26
Nevada-2018,Texas-2018,4
Cincinnati-2018,Georgia State-2018,15
UMBC-2018,Kansas State-2018,-7
Kentucky-2018,Buffalo-2018,20
Loyola–Chicago-2018,Tennessee-2018,1
Nevada-2018,Cincinnati-2018,2
Kansas State-2018,Kentucky-2018,3
Loyola–Chicago-2018,Nevada-2018,1
Kansas State-2018,Loyola–Chicago-2018,-16
Xavier-2018,Texas Southern-2018,19
Missouri-2018,Florida State-2018,-13
Ohio State-2018,South Dakota State-2018,8
Gonzaga-2018,UNC Greensboro-2018,4
Houston-2018,San Diego State-2018,2
Michigan-2018,Montana-2018,14
Texas A&M-2018,Providence-2018,4
North Carolina-2018,Lipscomb-2018,18
Xavier-2018,Florida State-2018,-5
Ohio State-2018,Gonzaga-2018,-6
Houston-2018,Michigan-2018,-1
Texas A&M-2018,North Carolina-2018,21
Florida State-2018,Gonzaga-2018,15
Michigan-2018,Texas A&M-2018,27
Florida State-2018,Michigan-2018,-4
Villanova-2018,Radford-2018,26
Virginia Tech-2018,Alabama-2018,-3
West Virginia-2018,Murray State-2018,17
Wichita State-2018,Marshall-2018,-6
Florida-2018,St. Bonaventure-2018,15
Texas Tech-2018,Stephen F. Austin-2018,10
Arkansas-2018,Butler-2018,-17
Purdue-2018,Cal State Fullerton-2018,26
Villanova-2018,Alabama-2018,23
West Virginia-2018,Marshall-2018,23
Florida-2018,Texas Tech-2018,-3
Butler-2018,Purdue-2018,-3
Villanova-2018,West Virginia-2018,12
Texas Tech-2018,Purdue-2018,13
Villanova-2018,Texas Tech-2018,12
