Team1,Team2,Score
Iowa State-2012,Connecticut-2012,0.616071429
Wichita State-2012,VCU-2012,0.454545455
Indiana-2012,New Mexico State-2012,0.616071429
UNLV-2012,Colorado-2012,0.439393939
Baylor-2012,South Dakota State-2012,0.571428571
Notre Dame-2012,Xavier-2012,0.439393939
Duke-2012,Lehigh-2012,0.424242424
Kentucky-2012,Iowa State-2012,0.642857143
VCU-2012,Indiana-2012,0.46969697
Colorado-2012,Baylor-2012,0.242424242
Xavier-2012,Lehigh-2012,0.607142857
Kentucky-2012,Indiana-2012,0.607142857
Baylor-2012,Xavier-2012,0.544642857
Kentucky-2012,Baylor-2012,0.607142857
Michigan State-2012,Long Island-2012,0.696428571
Memphis-2012,Saint Louis-2012,0.393939394
New Mexico-2012,Long Beach State-2012,0.5625
Louisville-2012,Davidson-2012,0.5625
Murray State-2012,Colorado State-2012,0.651785714
Marquette-2012,BYU-2012,0.678571429
Florida-2012,Virginia-2012,0.732142857
Missouri-2012,Norfolk State-2012,0.46969697
Michigan State-2012,Saint Louis-2012,0.535714286
New Mexico-2012,Louisville-2012,0.454545455
Murray State-2012,Marquette-2012,0.363636364
Florida-2012,Norfolk State-2012,0.803571429
Michigan State-2012,Louisville-2012,0.303030303
Marquette-2012,Florida-2012,0.348484848
Louisville-2012,Florida-2012,0.535714286
Syracuse-2012,UNC Asheville-2012,0.5625
Kansas State-2012,Southern Miss-2012,0.553571429
Vanderbilt-2012,Harvard-2012,0.580357143
Wisconsin-2012,Montana-2012,0.714285714
Cincinnati-2012,Texas-2012,0.553571429
Florida State-2012,St. Bonaventure-2012,0.526785714
Gonzaga-2012,West Virginia-2012,0.705357143
Ohio State-2012,Loyola (MD)-2012,0.669642857
Syracuse-2012,Kansas State-2012,0.642857143
Vanderbilt-2012,Wisconsin-2012,0.454545455
Cincinnati-2012,Florida State-2012,0.553571429
Gonzaga-2012,Ohio State-2012,0.393939394
Syracuse-2012,Wisconsin-2012,0.508928571
Cincinnati-2012,Ohio State-2012,0.272727273
Syracuse-2012,Ohio State-2012,0.393939394
North Carolina-2012,Vermont-2012,0.669642857
Creighton-2012,Alabama-2012,0.508928571
Temple-2012,South Florida-2012,0.287878788
Michigan-2012,Ohio-2012,0.424242424
San Diego State-2012,North Carolina State-2012,0.287878788
Georgetown-2012,Belmont-2012,0.633928571
Saint Mary's-2012,Purdue-2012,0.454545455
Kansas-2012,Detroit-2012,0.633928571
North Carolina-2012,Creighton-2012,0.625
South Florida-2012,Ohio-2012,0.409090909
North Carolina State-2012,Georgetown-2012,0.526785714
Purdue-2012,Kansas-2012,0.454545455
North Carolina-2012,Ohio-2012,0.571428571
North Carolina State-2012,Kansas-2012,0.454545455
North Carolina-2012,Kansas-2012,0.303030303
Louisville-2012,Kentucky-2012,0.378787879
Ohio St-2012,Kansas-2012,0.46969697
Kansas-2012,Kentucky-2012,0.378787879
Middle Tennessee-2013,Saint Mary's-2013,0.303030303
