Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Texas-2012,0.666666667,0.53022523,0.434576647,0.382638528,0.733116169,0.582653156,0.550812139,0.422557407,0.439814893,0.294592848,0.458754203,0.475962451,0.432727815,0.440244422,N/A,N/A,N/A,0.42360677,N/A
Florida St-2012,0.133333333,0.338866846,0.47903476,0.479323713,0.662115606,0.461190381,0.447303755,0.671305644,0.484103484,0.125595133,0.582292856,0.286732515,0.269567434,0.58746625,N/A,N/A,N/A,0.810283831,N/A
St Bonavent-2012,0.866666667,0.493727389,0.413648373,0.473915301,0.688051288,0.700162594,0.528423694,0.449079359,0.273321094,0.272001138,0.62649447,0.561914586,0.491563778,0.4609919,N/A,N/A,N/A,0.659939247,N/A
Gonzaga-2012,0.4,0.582214961,0.571889999,0.602295558,0.575092496,0.518081962,0.649495144,0.31437376,0.382670344,0.328372473,0.293278907,0.409899296,0.44690216,0.725024869,N/A,N/A,N/A,0.500820088,N/A
W Virginia-2012,0.6,0.490722371,0.411134375,0.353687005,0.800963163,0.339845191,0.502050904,0.231556647,0.347017817,0.391304886,0.437845818,0.567931305,0.619393985,0.422765383,N/A,N/A,N/A,0.460882165,N/A
Ohio State-2012,0,0.660783055,0.734019731,0.572688311,0.663154508,0.450242674,0.824261275,0.288822944,0.442843607,0.489810751,0.38582091,0.2251198,0.435693237,0.733551229,N/A,N/A,N/A,0.362957024,N/A
Loyola-MD-2012,0.933333333,0.398296184,0.360002969,0.289814247,0.749912866,0.529126981,0.392420348,0.502134963,0.53606538,0.244002586,0.672904272,0.538506653,0.514454101,0.644734972,N/A,N/A,N/A,0.543148403,N/A
N Carolina-2012,0,0.659149259,0.733074369,0.435306276,0.825705783,0.356651948,0.6537614,0.565550567,0.323174735,0.599061024,0.13877515,0.298100111,0.306681836,0.822367486,N/A,N/A,N/A,0.265767389,N/A
Creighton-2012,0.466666667,0.815789474,0.563121152,0.861395695,0.507235449,0.590770678,0.698237585,0.179225739,0.129377676,0.588434143,0.45403499,0.704442505,0.616353961,0.784709393,N/A,N/A,N/A,0.397246269,N/A
Alabama-2012,0.533333333,0.349078072,0.451850124,0.372299073,0.859550524,0.519610586,0.45925209,0.503668451,0.494450179,0.265980682,0.502892726,0.314804784,0.250152312,0.51158164,N/A,N/A,N/A,0.559403064,N/A
Temple-2012,0.266666667,0.582477535,0.43114092,0.605301397,0.524166197,0.532881639,0.420287267,0.414635484,0.410280706,0.460293012,0.483662564,0.652293011,0.565127383,0.679124627,N/A,N/A,N/A,0.389008613,N/A
Michigan-2012,0.2,0.587087175,0.648800722,0.648547703,0.720203625,0.537224229,0.685744222,0.485394571,0.486252348,0.442447523,0.487151501,0.273312197,0.226242431,0.689214154,N/A,N/A,N/A,0.329851943,N/A
Ohio-2012,0.8,0.660783055,0.734019731,0.572688311,0.663154508,0.450242674,0.824261275,0.288822944,0.698321517,0.489810751,0.38582091,0.2251198,0.435693237,0.733551229,N/A,N/A,N/A,0.362957024,N/A
San Diego St-2012,0.333333333,0.436632046,0.438341434,0.455549785,0.48192981,0.472421916,0.638444226,0.187427741,0.221917565,0.2897724,0.362212226,0.459299176,0.447007846,0.715787978,N/A,N/A,N/A,0.448062312,N/A
NC State-2012,0.666666667,0.537694013,0.414376788,0.477786696,0.676666935,0.49389564,0.48067264,0.416533879,0.387752322,0.461369309,0.429208649,0.621308981,0.492117075,0.526360665,N/A,N/A,N/A,0.456196998,N/A
Georgetown-2012,0.133333333,0.468432723,0.528231505,0.476926386,0.66832891,0.44167508,0.565875593,0.557216935,0.344105007,0.340904522,0.6077438,0.328232002,0.216550412,0.621003268,N/A,N/A,N/A,0.503232545,N/A
Belmont-2012,0.866666667,0.804323725,0.665959665,0.724118576,0.573279444,0.605290581,0.38578134,0.181078794,0.426794809,0.57252475,0.52586419,0.535260247,0.52029791,0.69859315,N/A,N/A,N/A,0.352336332,N/A
St Marys-2012,0.4,0.712801961,0.576710743,0.610898657,0.702589212,0.574190985,0.709326091,0.360894673,0.418673119,0.49101076,0.428628211,0.532196689,0.556610342,0.76310928,N/A,N/A,N/A,0.41268452,N/A
Purdue-2012,0.6,0.618479402,0.432740462,0.485739316,0.48399756,0.262623314,0.483050091,0.340667553,0.379984264,0.6659646,0.589005748,0.672478688,0.690203539,0.483302544,N/A,N/A,N/A,0.056486787,N/A
